path,name,description,item
"th,changrai,mengrai","Thailand Chiang_Rai_City_Municipality th,changrai,mengrai",,COBBLESTONE
"th,Songkhla,HatYai,RajuthitRoad","Thailand Hat_Yai th,Songkhla,HatYai,RajuthitRoad",,COBBLESTONE
"th,ayutthaya,WatYaiChaiMongkhon","Thailand Mu_3 th,ayutthaya,WatYaiChaiMongkhon",,COBBLESTONE
"th,nonthaburi,pakret","Thailand Pak_Kret_City_Municipality th,nonthaburi,pakret",,COBBLESTONE
"th,ayutthaya,WatRatchaburana","Thailand Phra_Nakhon_Si_Ayutthaya_City_Municipality Mu_1 th,ayutthaya,WatRatchaburana",,COBBLESTONE
"th,pangpu","Thailand th,pangpu",,COBBLESTONE
"th,phangnga,khainaiIsland","Thailand th,phangnga,khainaiIsland",,COBBLESTONE
tree,tree MANUAL CHECK THIS (),,COBBLESTONE
"vn,vungtau,jesus","Vietnam Bà_Rịa_-_Vũng_Tàu_Province Vũng_Tàu vn,vungtau,jesus",,COBBLESTONE
kfcVN,Vietnam Ho_Chi_Minh_City kfcVN,,COBBLESTONE
"vn,hochiminh","Vietnam Ho_Chi_Minh_City vn,hochiminh",,COBBLESTONE
thisistheplace,Vietnam Hà_Nội thisistheplace,,COBBLESTONE
"vn,hanoi,badinh,citadel","Vietnam Hà_Nội vn,hanoi,badinh,citadel",,COBBLESTONE
"vn,KonTum,NgocHoi,LaCamVnBorder","Vietnam Kon_Tum_Province vn,KonTum,NgocHoi,LaCamVnBorder",,COBBLESTONE
"vn,chuacau","Vietnam Quảng_Nam_Province Hội_An vn,chuacau",,COBBLESTONE
